main.py --devid 0 --model-config configs/hmm-d256-k128.yaml --num-epochs 100 --bsz 4 --patience 2 --overfit
{'--bptt': '35',
 '--bsz': '4',
 '--clip': '5',
 '--decay': '4',
 '--devid': '0',
 '--eval-bsz': '1',
 '--lr': '1e-3',
 '--model-config': 'configs/hmm-d256-k128.yaml',
 '--num-checks': '4',
 '--num-epochs': '100',
 '--overfit': True,
 '--patience': '2',
 '--save': None,
 '--seed': '1111'}
HmmLm(
  (start_mlp): Sequential(
    (0): ResidualLayer(
      (lin1): Linear(in_features=256, out_features=256, bias=True)
      (lin2): Linear(in_features=256, out_features=256, bias=True)
      (layer_norm): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
    )
    (1): Linear(in_features=256, out_features=1, bias=True)
  )
  (trans_mlp): Sequential(
    (0): ResidualLayer(
      (lin1): Linear(in_features=256, out_features=256, bias=True)
      (lin2): Linear(in_features=256, out_features=256, bias=True)
      (layer_norm): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
    )
    (1): Linear(in_features=256, out_features=128, bias=True)
  )
  (terminal_mlp): Sequential(
    (0): ResidualLayer(
      (lin1): Linear(in_features=256, out_features=256, bias=True)
      (lin2): Linear(in_features=256, out_features=256, bias=True)
      (layer_norm): LayerNorm((256,), eps=1e-05, elementwise_affine=True)
    )
    (1): Linear(in_features=256, out_features=10001, bias=True)
  )
)
Num params, trainable: 3098002, 3098002
Train epoch 0: log_prob = -5422061.00 | xent(word) = 5.83 | ppl = 341.30 | elbo = -6.53 | total_time = 139.06s
Valid epoch 0: log_prob = -417760.34 | xent(word) = 5.66 | ppl = 288.24 | elbo = -6.14 | total_time = 3.49s
Train epoch 1: log_prob = -5161167.00 | xent(word) = 5.55 | ppl = 257.78 | elbo = -5.96 | total_time = 144.81s
Valid epoch 1: log_prob = -412811.75 | xent(word) = 5.60 | ppl = 269.53 | elbo = -6.02 | total_time = 3.56s
Train epoch 2: log_prob = -5098383.50 | xent(word) = 5.48 | ppl = 240.94 | elbo = -5.88 | total_time = 146.10s
Valid epoch 2: log_prob = -410784.69 | xent(word) = 5.57 | ppl = 262.23 | elbo = -5.97 | total_time = 3.81s
Train epoch 3: log_prob = -5055924.00 | xent(word) = 5.44 | ppl = 230.18 | elbo = -5.81 | total_time = 146.63s
Valid epoch 3: log_prob = -409591.88 | xent(word) = 5.55 | ppl = 258.02 | elbo = -5.94 | total_time = 3.81s
Train epoch 4: log_prob = -5033631.50 | xent(word) = 5.41 | ppl = 224.73 | elbo = -5.77 | total_time = 147.17s
Valid epoch 4: log_prob = -409407.47 | xent(word) = 5.55 | ppl = 257.38 | elbo = -5.96 | total_time = 3.88s
Train epoch 5: log_prob = -5017147.50 | xent(word) = 5.40 | ppl = 220.78 | elbo = -5.74 | total_time = 147.85s
Valid epoch 5: log_prob = -409079.56 | xent(word) = 5.55 | ppl = 256.23 | elbo = -5.90 | total_time = 3.99s
Train epoch 6: log_prob = -5004770.50 | xent(word) = 5.38 | ppl = 217.86 | elbo = -5.71 | total_time = 147.52s
